episode,loss,reward,policy_loss,value_loss,entropy,kl,n_ppo_updates,wall_time
148,0.005736,-0.001952,0.000004,0.000001,-2.141126,0.000225,30,682.427686
149,0.005681,-0.001897,0.000001,0.000001,-2.138122,0.000134,30,686.925248
150,0.005694,-0.001909,0.000005,0.000001,-2.135118,0.000286,30,691.410212
151,0.005464,-0.001679,0.000000,0.000001,-2.132114,0.000144,30,695.748202
152,0.005308,-0.001524,0.000004,0.000001,-2.129110,0.000109,30,700.391059
153,0.005240,-0.001456,-0.000000,0.000001,-2.126106,0.000090,30,704.933739
154,0.005407,-0.001623,0.000000,0.000001,-2.123102,0.000193,30,709.692334
155,0.004985,-0.001201,-0.000001,0.000001,-2.120098,0.000096,30,714.248966
156,0.005096,-0.001312,0.000002,0.000001,-2.117094,0.000742,30,718.905182
157,0.004756,-0.000972,-0.000001,0.000001,-2.114090,0.000167,30,723.607500
158,0.004803,-0.001019,-0.000003,0.000001,-2.111086,0.000010,30,728.042278
159,0.004563,-0.000779,-0.000003,0.000001,-2.108082,0.000361,30,732.817826
160,0.004229,-0.000445,-0.000002,0.000001,-2.105078,0.000302,30,737.652425
161,0.004063,-0.000279,0.000002,0.000001,-2.102074,0.000319,30,742.346362
162,0.003906,-0.000121,-0.000000,0.000001,-2.099070,0.000160,30,747.110799
163,0.003902,-0.000118,-0.000002,0.000001,-2.096068,0.000370,30,751.815374
164,0.003463,0.000321,-0.000003,0.000001,-2.093068,0.000137,30,756.550234
165,0.003409,0.000375,-0.000001,0.000001,-2.090064,0.000073,30,761.435587
166,0.003527,0.000258,-0.000001,0.000001,-2.087059,0.000132,30,766.322775
167,0.003291,0.000494,0.000000,0.000001,-2.084055,0.000285,30,771.044980
168,0.003052,0.000732,-0.000000,0.000001,-2.081051,0.000134,30,776.298744
169,0.002983,0.000801,0.000002,0.000001,-2.078047,0.000050,30,781.834918
170,0.002896,0.000888,-0.000001,0.000001,-2.075043,0.000117,30,787.500382
171,0.002779,0.001005,-0.000001,0.000001,-2.072039,0.000086,30,793.226809
172,0.002781,0.001003,0.000002,0.000001,-2.069035,0.000027,30,798.476276
173,0.002725,0.001059,-0.000002,0.000001,-2.066032,0.000039,30,803.544188
174,0.002585,0.001199,0.000001,0.000001,-2.063032,0.000114,30,808.916445
175,0.002576,0.001209,-0.000002,0.000001,-2.060028,0.000122,30,814.593603
176,0.002482,0.001303,-0.000000,0.000001,-2.057024,0.000199,30,820.453210
177,0.002383,0.001401,-0.000002,0.000001,-2.054020,0.000066,30,826.606585
178,0.002390,0.001394,-0.000001,0.000001,-2.051016,0.000072,30,832.582236
179,0.002381,0.001403,-0.000001,0.000001,-2.048012,0.000102,30,838.307098
180,0.002238,0.001546,0.000000,0.000001,-2.045013,0.000150,30,844.120708
181,0.002057,0.001728,0.000001,0.000001,-2.042014,0.000163,30,850.149333
182,0.002130,0.001654,-0.000002,0.000001,-2.039011,0.000201,30,856.213638
183,0.001930,0.001854,0.000002,0.000001,-2.036009,0.000092,30,862.285613
184,0.001794,0.001991,0.000001,0.000001,-2.033005,0.000040,30,868.366336
185,0.001907,0.001877,-0.000000,0.000000,-2.030001,0.000061,30,874.484828
186,0.001753,0.002031,0.000000,0.000000,-2.026997,0.000085,30,880.650367
187,0.001742,0.002042,-0.000000,0.000000,-2.023993,0.000023,30,886.834124
188,0.001820,0.001964,-0.000001,0.000000,-2.020991,0.000035,30,892.993614
189,0.001771,0.002013,-0.000000,0.000000,-2.017994,0.000059,30,899.336867
190,0.001800,0.001984,-0.000004,0.000000,-2.014995,0.000048,30,905.146842
191,0.001694,0.002090,0.000000,0.000000,-2.011995,0.000235,30,910.525137
192,0.001527,0.002257,0.000001,0.000000,-2.008995,0.000094,30,915.663437
193,0.001544,0.002240,-0.000000,0.000000,-2.005998,0.000026,30,920.788597
194,0.001504,0.002281,0.000002,0.000000,-2.002998,0.000014,30,925.814102
195,0.001601,0.002184,0.000001,0.000000,-1.999994,0.000024,30,930.667464
196,0.001553,0.002231,-0.000002,0.000000,-1.996990,0.000049,30,935.518182
197,0.001515,0.002269,-0.000000,0.000000,-1.993986,0.000123,30,940.280211
198,0.001507,0.002277,0.000000,0.000000,-1.990982,0.000033,30,945.115426
