episode,loss,reward,policy_loss,value_loss,entropy,kl,n_ppo_updates,lr,wall_time
116,0.000567,0.851440,-0.000128,0.000448,-0.002536,0.003847,10,0.000099,506.042632
117,0.000662,0.826538,0.000089,0.003232,-0.001717,0.003423,6,0.000099,510.668866
118,0.000588,0.846101,-0.000468,0.001672,-0.001160,0.006305,5,0.000099,515.355208
119,0.000567,0.851519,0.000056,0.000682,-0.000590,0.005057,7,0.000099,520.503349
120,0.000586,0.846426,-0.000233,0.000952,0.000036,0.003377,5,0.000099,525.334860
121,0.000621,0.837402,-0.000306,0.001912,0.001081,0.002795,14,0.000099,530.200963
122,0.000590,0.845540,-0.000410,0.001025,0.002400,0.003905,11,0.000099,535.103247
123,0.000654,0.828854,-0.000045,0.001529,0.003528,0.002761,12,0.000099,539.964824
124,0.000617,0.838317,-0.000244,0.000600,0.004546,0.004128,11,0.000099,544.736745
125,0.000608,0.840891,-0.000150,0.001013,0.005482,0.003517,9,0.000099,549.529526
126,0.000662,0.826622,-0.000052,0.000948,0.007252,0.004178,30,0.000099,554.634680
127,0.000605,0.841703,-0.000078,0.000350,0.010112,0.002140,30,0.000099,559.582104
128,0.000651,0.829580,0.000145,0.000693,0.012173,0.003919,9,0.000099,564.622547
129,0.000759,0.801284,-0.000788,0.005252,0.012879,0.004397,6,0.000099,569.389381
130,0.000657,0.827885,-0.000369,0.001077,0.013390,0.004122,8,0.000099,574.391622
131,0.000842,0.779617,-0.000142,0.003011,0.013946,0.004416,6,0.000099,579.113459
132,0.000710,0.814162,-0.000154,0.000655,0.014479,0.005457,6,0.000099,583.922299
133,0.000766,0.799437,-0.000103,0.000875,0.015145,0.004214,8,0.000099,589.011052
134,0.000743,0.805355,-0.000118,0.001289,0.016060,0.003120,11,0.000099,593.805513
135,0.000711,0.813730,-0.000126,0.000725,0.016973,0.003202,9,0.000099,599.010792
136,0.000867,0.773025,-0.000546,0.005075,0.017704,0.004842,6,0.000099,603.778758
137,0.000737,0.807100,-0.000055,0.000585,0.019225,0.005802,30,0.000099,608.969404
138,0.000864,0.773661,-0.000388,0.004487,0.021671,0.005036,25,0.000099,614.044057
139,0.000728,0.809426,-0.000163,0.001410,0.023462,0.003806,14,0.000099,619.124127
140,0.000743,0.805479,-0.000093,0.000540,0.025667,0.002804,30,0.000099,624.350215
141,0.000895,0.765506,-0.000001,0.001258,0.028502,0.003809,30,0.000099,629.166044
142,0.000883,0.768897,-0.000078,0.000841,0.030087,0.003577,10,0.000099,633.910794
143,0.000866,0.773243,-0.000040,0.000477,0.031088,0.003327,11,0.000099,638.748035
144,0.000859,0.774967,-0.000108,0.000510,0.032124,0.004823,11,0.000099,643.545350
145,0.000824,0.784155,0.000029,0.000322,0.033219,0.003557,12,0.000099,648.487443
146,0.000894,0.765987,-0.000206,0.000483,0.034418,0.003722,12,0.000099,653.165296
147,0.001016,0.734009,-0.000175,0.001335,0.035456,0.003255,8,0.000099,658.022403
148,0.000948,0.751824,-0.000141,0.001241,0.036156,0.004006,6,0.000099,662.668578
149,0.001034,0.729169,0.000167,0.001896,0.036682,0.004628,5,0.000099,667.562769
150,0.001145,0.700053,0.000437,0.006162,0.037132,0.005672,5,0.000099,672.064605
151,0.001059,0.722722,0.000075,0.003641,0.037473,0.005813,4,0.000099,676.720175
152,0.001046,0.725979,0.000039,0.001052,0.037964,0.003764,9,0.000099,681.599427
153,0.000998,0.738663,-0.000187,0.000931,0.038706,0.004155,8,0.000099,686.386299
154,0.000961,0.748448,-0.000330,0.000885,0.039242,0.005516,5,0.000099,691.528061
155,0.000947,0.751905,-0.000354,0.000997,0.039640,0.004674,5,0.000099,696.465024
156,0.001094,0.713492,-0.001537,0.013978,0.039935,0.008746,3,0.000099,701.122104
157,0.000988,0.741273,-0.000146,0.001093,0.040502,0.003147,10,0.000099,705.855261
158,0.000877,0.770361,0.000067,0.001385,0.041369,0.005063,7,0.000098,710.752571
159,0.001072,0.719190,-0.000726,0.005788,0.041835,0.007395,4,0.000098,715.351325
160,0.000911,0.761475,-0.000271,0.000535,0.042076,0.007443,4,0.000098,720.286040
161,0.000914,0.760533,0.000185,0.000491,0.042407,0.004966,6,0.000098,725.021078
162,0.001099,0.712192,-0.000743,0.013094,0.042840,0.006370,4,0.000098,729.799121
